0,1,2,3,4,5,6,7,8,9,10
canned beer,domestic eggs,white wine,waffles,,,,,,,
other vegetables,beef,,,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
soda,shopping bags,,,,,,,,,
sausage,ketchup,,,,,,,,,
margarine,bottled water,,,,,,,,,
whole milk,pastry,,,,,,,,,
beef,soda,,,,,,,,,
citrus fruit,brown bread,ketchup,,,,,,,,
bottled beer,whole milk,,,,,,,,,
bottled water,berries,,,,,,,,,
whole milk,frozen potato products,,,,,,,,,
whole milk,flower (seeds),honey,,,,,,,,
whole milk,curd,bottled beer,,,,,,,,
fruit/vegetable juice,candy,fruit/vegetable juice,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pork,other vegetables,,,,,,,,,
soda,shopping bags,,,,,,,,,
cream cheese ,whole milk,candy,,,,,,,,
baby cosmetics,bottled water,,,,,,,,,
newspapers,berries,,,,,,,,,
rolls/buns,dishes,,,,,,,,,
photo/film,beverages,bottled beer,,,,,,,,
pork,waffles,tropical fruit,pork,canned beer,whipped/sour cream,newspapers,cream cheese ,,,
instant coffee,domestic eggs,,,,,,,,,
sausage,domestic eggs,domestic eggs,,,,,,,,
sausage,soda,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
specialty chocolate,candles,,,,,,,,,
sparkling wine,tropical fruit,,,,,,,,,
soda,whisky,,,,,,,,,
hamburger meat,yogurt,bottled water,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
packaged fruit/vegetables,frozen vegetables,,,,,,,,,
whole milk,baking powder,,,,,,,,,
salty snack,white wine,,,,,,,,,
other vegetables,baking powder,,,,,,,,,
sauces,ice cream,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
citrus fruit,dish cleaner,margarine,,,,,,,,
bottled beer,canned vegetables,,,,,,,,,
pork,grapes,,,,,,,,,
sugar,cat food,,,,,,,,,
whole milk,detergent,soda,,,,,,,,
whole milk,pork,rolls/buns,,,,,,,,
soda,bottled water,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
pork,curd,,,,,,,,,
other vegetables,margarine,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
soda,spices,,,,,,,,,
sausage,soda,,,,,,,,,
pasta,root vegetables,,,,,,,,,
pip fruit,frozen vegetables,butter milk,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
yogurt,hard cheese,,,,,,,,,
canned vegetables,popcorn,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
curd,root vegetables,,,,,,,,,
berries,frozen vegetables,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
long life bakery product,hamburger meat,whole milk,,,,,,,,
pip fruit,nut snack,napkins,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
tropical fruit,butter milk,,,,,,,,,
butter,sugar,,,,,,,,,
turkey,root vegetables,,,,,,,,,
soda,specialty chocolate,,,,,,,,,
beef,cake bar,butter,,,,,,,,
canned beer,red/blush wine,,,,,,,,,
domestic eggs,ham,,,,,,,,,
soda,soda,canned fruit,processed cheese,soda,shopping bags,,,,,
beverages,bottled water,,,,,,,,,
frozen fish,tropical fruit,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
frozen chicken,herbs,yogurt,,,,,,,,
frankfurter,long life bakery product,sugar,,,,,,,,
soda,butter,,,,,,,,,
fruit/vegetable juice,pot plants,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
pip fruit,brandy,,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
UHT-milk,canned fish,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
photo/film,pastry,,,,,,,,,
fruit/vegetable juice,roll products ,,,,,,,,,
whipped/sour cream,shopping bags,bottled water,,,,,,,,
other vegetables,rice,specialty fat,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
other vegetables,cream cheese ,tropical fruit,root vegetables,specialty chocolate,,,,,,
domestic eggs,other vegetables,brown bread,,,,,,,,
pot plants,bottled water,yogurt,,,,,,,,
salty snack,condensed milk,,,,,,,,,
whole milk,seasonal products,,,,,,,,,
butter,frankfurter,root vegetables,butter milk,vinegar,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
pip fruit,citrus fruit,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
root vegetables,liquor,sliced cheese,,,,,,,,
meat,yogurt,,,,,,,,,
misc. beverages,spread cheese,,,,,,,,,
sausage,margarine,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
yogurt,bottled water,processed cheese,,,,,,,,
whipped/sour cream,salty snack,,,,,,,,,
hard cheese,other vegetables,whole milk,zwieback,,,,,,,
salty snack,canned beer,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
whole milk,butter milk,beverages,,,,,,,,
pork,other vegetables,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
root vegetables,coffee,domestic eggs,soda,,,,,,,
root vegetables,specialty cheese,,,,,,,,,
yogurt,margarine,long life bakery product,coffee,,,,,,,
frankfurter,other vegetables,cream cheese ,,,,,,,,
shopping bags,soap,,,,,,,,,
pork,cookware,root vegetables,canned beer,whole milk,bottled water,oil,whole milk,,,
yogurt,root vegetables,,,,,,,,,
canned beer,brown bread,napkins,,,,,,,,
canned beer,yogurt,bottled water,,,,,,,,
whole milk,tropical fruit,other vegetables,yogurt,domestic eggs,,,,,,
cream cheese ,other vegetables,,,,,,,,,
citrus fruit,beef,citrus fruit,whipped/sour cream,dishes,bottled beer,whole milk,,,,
sausage,rolls/buns,curd,salty snack,whipped/sour cream,hard cheese,,,,,
curd,butter,,,,,,,,,
specialty bar,canned beer,white bread,newspapers,,,,,,,
shopping bags,skin care,,,,,,,,,
other vegetables,meat,salty snack,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
waffles,rolls/buns,,,,,,,,,
ketchup,potato products,,,,,,,,,
soda,soda,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
chicken,whole milk,,,,,,,,,
frankfurter,curd,,,,,,,,,
bottled water,coffee,,,,,,,,,
pork,dessert,,,,,,,,,
photo/film,liquor (appetizer),,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
tropical fruit,citrus fruit,domestic eggs,root vegetables,,,,,,,
other vegetables,shopping bags,other vegetables,,,,,,,,
grapes,curd,,,,,,,,,
baking powder,soda,,,,,,,,,
canned beer,brown bread,,,,,,,,,
pastry,whole milk,dessert,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
bottled water,butter milk,,,,,,,,,
root vegetables,yogurt,bottled water,,,,,,,,
frozen meals,canned vegetables,other vegetables,turkey,,,,,,,
pip fruit,frozen vegetables,abrasive cleaner,,,,,,,,
newspapers,napkins,,,,,,,,,
dish cleaner,soda,,,,,,,,,
soda,sausage,yogurt,root vegetables,,,,,,,
root vegetables,coffee,napkins,,,,,,,,
pork,male cosmetics,pastry,chewing gum,brandy,,,,,,
bottled beer,berries,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
root vegetables,beef,,,,,,,,,
canned beer,tropical fruit,root vegetables,other vegetables,,,,,,,
dessert,whole milk,waffles,,,,,,,,
whole milk,salty snack,,,,,,,,,
specialty bar,other vegetables,misc. beverages,,,,,,,,
bottled beer,beverages,hard cheese,fruit/vegetable juice,,,,,,,
hamburger meat,butter,,,,,,,,,
canned fish,cat food,,,,,,,,,
dishes,rolls/buns,,,,,,,,,
yogurt,soda,frozen vegetables,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
curd,tropical fruit,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
sugar,red/blush wine,,,,,,,,,
other vegetables,dessert,,,,,,,,,
beef,frozen meals,,,,,,,,,
other vegetables,soda,rolls/buns,dishes,,,,,,,
sausage,bottled water,,,,,,,,,
canned beer,flour,,,,,,,,,
sausage,whole milk,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
sliced cheese,rolls/buns,,,,,,,,,
yogurt,grapes,,,,,,,,,
bottled water,ham,brown bread,yogurt,,,,,,,
coffee,sliced cheese,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
domestic eggs,potato products,,,,,,,,,
whole milk,meat,,,,,,,,,
curd cheese,mustard,bottled water,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
sausage,bottled water,,,,,,,,,
organic sausage,herbs,,,,,,,,,
ham,cake bar,whole milk,,,,,,,,
domestic eggs,tropical fruit,,,,,,,,,
yogurt,berries,butter,pastry,,,,,,,
chicken,butter milk,,,,,,,,,
sausage,whole milk,prosecco,honey,other vegetables,waffles,shopping bags,artif. sweetener,,,
shopping bags,whipped/sour cream,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
soda,zwieback,pastry,,,,,,,,
brown bread,yogurt,,,,,,,,,
whole milk,rolls/buns,yogurt,,,,,,,,
pastry,pork,,,,,,,,,
pip fruit,liver loaf,root vegetables,rolls/buns,mayonnaise,curd,root vegetables,hard cheese,chocolate,,
tropical fruit,sparkling wine,cat food,,,,,,,,
whole milk,waffles,chocolate,,,,,,,,
whole milk,whole milk,,,,,,,,,
frankfurter,whole milk,grapes,butter,semi-finished bread,,,,,,
canned beer,newspapers,shopping bags,,,,,,,,
chicken,grapes,,,,,,,,,
sugar,UHT-milk,margarine,,,,,,,,
chocolate,dessert,,,,,,,,,
other vegetables,soda,soda,napkins,,,,,,,
fruit/vegetable juice,hamburger meat,soft cheese,specialty chocolate,bottled water,,,,,,
citrus fruit,specialty chocolate,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
sausage,canned beer,,,,,,,,,
soda,pastry,bottled water,,,,,,,,
rolls/buns,female sanitary products,,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
sausage,salty snack,brown bread,white bread,candles,,,,,,
pork,root vegetables,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
coffee,rolls/buns,,,,,,,,,
pip fruit,seasonal products,chocolate,,,,,,,,
ham,canned beer,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
pip fruit,grapes,pastry,,,,,,,,
packaged fruit/vegetables,dishes,,,,,,,,,
dessert,packaged fruit/vegetables,,,,,,,,,
rolls/buns,other vegetables,yogurt,frozen vegetables,,,,,,,
dessert,yogurt,,,,,,,,,
whole milk,candy,,,,,,,,,
frankfurter,frankfurter,citrus fruit,semi-finished bread,dishes,whipped/sour cream,,,,,
sausage,domestic eggs,,,,,,,,,
seasonal products,root vegetables,,,,,,,,,
whole milk,bottled water,,,,,,,,,
bottled beer,oil,,,,,,,,,
berries,coffee,,,,,,,,,
chicken,coffee,,,,,,,,,
meat,bottled water,soda,,,,,,,,
whole milk,other vegetables,,,,,,,,,
rolls/buns,berries,,,,,,,,,
ice cream,long life bakery product,,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
seasonal products,whole milk,,,,,,,,,
root vegetables,pastry,,,,,,,,,
canned beer,onions,,,,,,,,,
other vegetables,rolls/buns,frozen meals,,,,,,,,
house keeping products,yogurt,,,,,,,,,
citrus fruit,oil,whole milk,,,,,,,,
ham,specialty chocolate,soft cheese,,,,,,,,
sausage,whole milk,,,,,,,,,
root vegetables,yogurt,newspapers,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
tropical fruit,tropical fruit,napkins,,,,,,,,
whole milk,canned vegetables,,,,,,,,,
pastry,brandy,soda,,,,,,,,
pickled vegetables,yogurt,,,,,,,,,
seasonal products,butter,ice cream,,,,,,,,
whole milk,root vegetables,,,,,,,,,
seasonal products,soups,,,,,,,,,
chicken,spread cheese,,,,,,,,,
other vegetables,butter,,,,,,,,,
photo/film,grapes,,,,,,,,,
other vegetables,tea,,,,,,,,,
beef,brown bread,,,,,,,,,
misc. beverages,soft cheese,,,,,,,,,
tropical fruit,rolls/buns,candy,,,,,,,,
pastry,curd,bottled beer,,,,,,,,
cream cheese ,misc. beverages,,,,,,,,,
bottled water,napkins,fruit/vegetable juice,hard cheese,,,,,,,
shopping bags,sausage,,,,,,,,,
onions,curd,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
whole milk,onions,,,,,,,,,
shopping bags,pickled vegetables,,,,,,,,,
onions,whole milk,,,,,,,,,
turkey,whipped/sour cream,,,,,,,,,
frankfurter,frankfurter,tropical fruit,berries,,,,,,,
canned beer,tropical fruit,margarine,,,,,,,,
coffee,root vegetables,whipped/sour cream,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
dessert,dental care,waffles,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
soda,shopping bags,,,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
rolls/buns,bottled beer,white bread,,,,,,,,
pork,pastry,,,,,,,,,
pork,whole milk,,,,,,,,,
butter milk,frozen vegetables,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
semi-finished bread,liquor,pastry,,,,,,,,
beef,curd,,,,,,,,,
whole milk,domestic eggs,yogurt,,,,,,,,
whole milk,chocolate,,,,,,,,,
canned beer,whole milk,,,,,,,,,
beef,roll products ,root vegetables,chicken,waffles,male cosmetics,grapes,brown bread,,,
dessert,white bread,salty snack,cat food,,,,,,,
bottled water,beverages,pastry,,,,,,,,
sausage,yogurt,,,,,,,,,
whole milk,grapes,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
sausage,whole milk,pastry,rolls/buns,coffee,bottled beer,chocolate,rolls/buns,,,
ice cream,napkins,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
UHT-milk,cling film/bags,,,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
pickled vegetables,liquor,,,,,,,,,
sausage,salt,,,,,,,,,
sausage,yogurt,dishes,,,,,,,,
specialty bar,candles,,,,,,,,,
meat,whipped/sour cream,,,,,,,,,
Instant food products,bottled beer,butter,,,,,,,,
beef,specialty bar,white bread,,,,,,,,
pastry,brown bread,,,,,,,,,
pip fruit,frankfurter,whole milk,cream cheese ,,,,,,,
specialty bar,bottled water,,,,,,,,,
bottled water,bottled beer,brown bread,,,,,,,,
liver loaf,pip fruit,fruit/vegetable juice,curd,,,,,,,
salty snack,whole milk,domestic eggs,shopping bags,,,,,,,
other vegetables,whole milk,,,,,,,,,
canned beer,pip fruit,frozen vegetables,dessert,canned vegetables,,,,,,
yogurt,pastry,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
zwieback,cream cheese ,,,,,,,,,
pastry,waffles,,,,,,,,,
fruit/vegetable juice,napkins,,,,,,,,,
fruit/vegetable juice,vinegar,,,,,,,,,
brown bread,packaged fruit/vegetables,,,,,,,,,
whole milk,coffee,brandy,,,,,,,,
sausage,beverages,,,,,,,,,
soda,dessert,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
citrus fruit,whole milk,bottled beer,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
sausage,soda,bottled water,,,,,,,,
hard cheese,whole milk,,,,,,,,,
soda,root vegetables,rolls/buns,,,,,,,,
spread cheese,frankfurter,ice cream,citrus fruit,pip fruit,cake bar,other vegetables,yogurt,rolls/buns,,
whole milk,hard cheese,white bread,,,,,,,,
whole milk,brown bread,,,,,,,,,
beverages,candles,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
canned beer,dishes,,,,,,,,,
fruit/vegetable juice,rolls/buns,packaged fruit/vegetables,ice cream,rolls/buns,pasta,margarine,pip fruit,,,
whole milk,frozen vegetables,,,,,,,,,
other vegetables,frankfurter,whole milk,sausage,misc. beverages,margarine,yogurt,frozen meals,cat food,,
margarine,domestic eggs,,,,,,,,,
bottled water,dessert,,,,,,,,,
sliced cheese,other vegetables,,,,,,,,,
newspapers,beef,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
pip fruit,soda,popcorn,,,,,,,,
meat,pip fruit,,,,,,,,,
sausage,soda,pastry,flower (seeds),newspapers,,,,,,
butter,coffee,,,,,,,,,
citrus fruit,beverages,,,,,,,,,
male cosmetics,baking powder,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
canned beer,candy,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
oil,herbs,,,,,,,,,
frankfurter,other vegetables,ham,other vegetables,other vegetables,fruit/vegetable juice,rolls/buns,fruit/vegetable juice,rolls/buns,,
cat food,whole milk,turkey,spread cheese,canned beer,berries,long life bakery product,,,,
sliced cheese,brown bread,roll products ,,,,,,,,
whole milk,domestic eggs,pasta,,,,,,,,
dessert,fruit/vegetable juice,napkins,,,,,,,,
brown bread,bottled water,,,,,,,,,
hamburger meat,chicken,butter,rolls/buns,,,,,,,
sauces,herbs,,,,,,,,,
citrus fruit,soda,,,,,,,,,
liquor (appetizer),long life bakery product,,,,,,,,,
soda,yogurt,,,,,,,,,
finished products,berries,,,,,,,,,
whole milk,bathroom cleaner,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
frankfurter,salt,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
processed cheese,fruit/vegetable juice,frozen meals,cat food,,,,,,,
pastry,napkins,pastry,,,,,,,,
other vegetables,other vegetables,soda,dish cleaner,,,,,,,
curd,grapes,soups,whole milk,,,,,,,
tropical fruit,packaged fruit/vegetables,,,,,,,,,
sausage,brown bread,,,,,,,,,
sweet spreads,berries,butter milk,pip fruit,soda,other vegetables,fruit/vegetable juice,whole milk,,,
beverages,curd,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
sausage,butter,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
pip fruit,napkins,,,,,,,,,
frankfurter,butter,long life bakery product,,,,,,,,
pork,UHT-milk,,,,,,,,,
pork,dishes,,,,,,,,,
grapes,root vegetables,other vegetables,,,,,,,,
hamburger meat,candles,,,,,,,,,
turkey,root vegetables,frozen meals,soda,spread cheese,,,,,,
other vegetables,shopping bags,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
ice cream,citrus fruit,soda,,,,,,,,
frozen meals,whole milk,,,,,,,,,
soda,sliced cheese,butter,,,,,,,,
citrus fruit,beef,,,,,,,,,
meat,grapes,,,,,,,,,
pork,citrus fruit,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
whole milk,soda,,,,,,,,,
frankfurter,soda,,,,,,,,,
hamburger meat,pet care,pastry,,,,,,,,
soda,butter milk,,,,,,,,,
whole milk,butter milk,rubbing alcohol,fruit/vegetable juice,,,,,,,
whole milk,root vegetables,soda,,,,,,,,
meat,whole milk,,,,,,,,,
bottled water,tropical fruit,shopping bags,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
cream cheese ,domestic eggs,,,,,,,,,
butter milk,napkins,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
root vegetables,soda,long life bakery product,,,,,,,,
citrus fruit,sugar,specialty chocolate,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
tropical fruit,hamburger meat,tea,,,,,,,,
rolls/buns,tropical fruit,,,,,,,,,
whipped/sour cream,UHT-milk,fruit/vegetable juice,,,,,,,,
shopping bags,bottled water,,,,,,,,,
whole milk,white bread,newspapers,,,,,,,,
bottled beer,fruit/vegetable juice,fruit/vegetable juice,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
chocolate,shopping bags,,,,,,,,,
curd,shopping bags,,,,,,,,,
whole milk,pork,whole milk,whole milk,,,,,,,
pork,bottled water,,,,,,,,,
dessert,UHT-milk,margarine,,,,,,,,
soda,rice,,,,,,,,,
citrus fruit,rolls/buns,napkins,soda,,,,,,,
pip fruit,yogurt,whole milk,yogurt,bottled beer,newspapers,,,,,
rolls/buns,whole milk,,,,,,,,,
other vegetables,cookware,canned beer,canned beer,frozen vegetables,butter,ice cream,bottled water,,,
pip fruit,shopping bags,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
soda,other vegetables,,,,,,,,,
chicken,bottled beer,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
bottled water,processed cheese,packaged fruit/vegetables,yogurt,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
ham,butter milk,,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
soda,rolls/buns,,,,,,,,,
pork,cat food,,,,,,,,,
beef,other vegetables,whole milk,soda,,,,,,,
UHT-milk,UHT-milk,,,,,,,,,
canned beer,flour,,,,,,,,,
other vegetables,beef,tropical fruit,root vegetables,shopping bags,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
canned beer,other vegetables,waffles,oil,,,,,,,
hamburger meat,whole milk,whipped/sour cream,,,,,,,,
sausage,mustard,,,,,,,,,
ketchup,whole milk,,,,,,,,,
rolls/buns,soda,curd,dessert,,,,,,,
berries,domestic eggs,coffee,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
soda,brown bread,,,,,,,,,
beverages,liquor,shopping bags,,,,,,,,
sausage,whole milk,,,,,,,,,
frankfurter,other vegetables,specialty bar,,,,,,,,
butter,oil,,,,,,,,,
brown bread,UHT-milk,beef,red/blush wine,brown bread,rolls/buns,pickled vegetables,,,,
frozen fish,curd,,,,,,,,,
frankfurter,pork,,,,,,,,,
whole milk,candy,,,,,,,,,
candles,rolls/buns,other vegetables,rolls/buns,,,,,,,
rolls/buns,sugar,,,,,,,,,
chicken,pastry,,,,,,,,,
herbs,rolls/buns,,,,,,,,,
beef,frozen dessert,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
berries,canned fish,,,,,,,,,
coffee,frozen potato products,,,,,,,,,
flour,cream cheese ,,,,,,,,,
sausage,tropical fruit,curd,,,,,,,,
pip fruit,onions,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
sausage,frozen vegetables,specialty vegetables,,,,,,,,
cream cheese ,soft cheese,,,,,,,,,
whole milk,pork,rolls/buns,yogurt,,,,,,,
sausage,newspapers,,,,,,,,,
sausage,semi-finished bread,,,,,,,,,
oil,butter,,,,,,,,,
pork,cereals,,,,,,,,,
ice cream,shopping bags,,,,,,,,,
ham,pastry,whole milk,specialty bar,tropical fruit,hard cheese,yogurt,candy,,,
spices,shopping bags,soda,newspapers,,,,,,,
frankfurter,other vegetables,,,,,,,,,
curd,yogurt,,,,,,,,,
tropical fruit,other vegetables,berries,butter,,,,,,,
house keeping products,spread cheese,,,,,,,,,
shopping bags,margarine,,,,,,,,,
UHT-milk,berries,,,,,,,,,
herbs,spread cheese,rolls/buns,,,,,,,,
sausage,fruit/vegetable juice,bottled water,,,,,,,,
soda,butter milk,soda,,,,,,,,
soft cheese,pip fruit,whole milk,,,,,,,,
meat,beverages,newspapers,candy,,,,,,,
other vegetables,brown bread,,,,,,,,,
whole milk,brown bread,candy,,,,,,,,
other vegetables,white bread,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
white wine,dessert,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
whole milk,brown bread,domestic eggs,,,,,,,,
margarine,whole milk,berries,,,,,,,,
brown bread,sausage,rolls/buns,bottled water,,,,,,,
waffles,whole milk,meat spreads,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
other vegetables,frozen dessert,shopping bags,,,,,,,,
packaged fruit/vegetables,pip fruit,,,,,,,,,
sausage,curd,fruit/vegetable juice,,,,,,,,
sliced cheese,cream cheese ,semi-finished bread,,,,,,,,
tropical fruit,spices,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
beef,sparkling wine,butter milk,misc. beverages,pastry,,,,,,
citrus fruit,pastry,other vegetables,pastry,,,,,,,
